id,timestamp,text,searchQuery,clean_content
1837824180600869337,2024-09-22 12:00:00+00:00,"BAN SAAT START:

Lewis Hamilton memaksi soft, incar start bagus 👀👀
Ada Ricciardo juga yang pasang soft.

Hard - Magnussen, Stroll, Bottas, dan Zhou.
Medium - sisanya",speed Indonesia ,"BAN SAAT START

Lewis Hamilton memaksi soft incar start bagus 
Ada Ricciardo juga yang pasang soft

Hard  Magnussen Stroll Bottas dan Zhou
Medium  sisanya"
1837823527509967204,2024-09-22 11:57:00+00:00,GAAAASSSSS~,speed Indonesia ,GAAAASSSSS
1837822674565058934,2024-09-22 11:54:00+00:00,"kocak ayingg wkwk,itu urusan speed g ada hubungannya sama arab.kecuali klo dia masih di Indonesia nah baru lu tanyain,itu udah di negara lain cok cok",speed Indonesia ,kocak ayingg wkwkitu urusan speed g ada hubungannya sama arabkecuali klo dia masih di Indonesia nah baru lu tanyainitu udah di negara lain cok cok
1837821987751612762,2024-09-22 11:51:00+00:00,Kangen Wilhelmussss 😔,speed Indonesia ,Kangen Wilhelmussss 
1837821682230210982,2024-09-22 11:50:00+00:00,Rob Marshall sedang memantau mobil SF-24 👀👀👀,speed Indonesia ,Rob Marshall sedang memantau mobil SF24 
1837827510090060189,2024-09-22 12:13:00+00:00,"Inilah Alasan Mengapa Backlog Perumahan di Indonesia Massif Tinggi 

Kali Bekasi
#GibranBocilPengecut
#JokowiIslamophobia
Slamet
Khilaf
Bobotoh
Speed
Putusin
Minggu

grahamedia.id/bursa-properti…",speed Indonesia ,"Inilah Alasan Mengapa Backlog Perumahan di Indonesia Massif Tinggi 

Kali Bekasi
GibranBocilPengecut
JokowiIslamophobia
Slamet
Khilaf
Bobotoh
Speed
Putusin
Minggu

grahamediaidbursaproperti"
1837826973235925330,2024-09-22 12:11:00+00:00,"Seminggu ini heboh:
1. Speed 3 kali streaming live di Indonesia
2. Bocah 5 tahun dibunuh sadis
3. 9 orang mati tenggelam di Kali Bekasi

Setiap detik viralnya selalu berubah drastis…",speed Indonesia ,"Seminggu ini heboh
1 Speed 3 kali streaming live di Indonesia
2 Bocah 5 tahun dibunuh sadis
3 9 orang mati tenggelam di Kali Bekasi

Setiap detik viralnya selalu berubah drastis"
1837826704414494982,2024-09-22 12:10:00+00:00,"Mantap Indonesia Masuk 3 Besar Negara-Negara Utama Dalam Pertumbuhan PDB Riil Tahunan SELAMA 10 TAHUN

Pertumbuhan ekonomi masa depan negara menggunakan 81 indikator, termasuk produktivitas tenaga kerja, pendidikan, dan kewajiban utang.

Terimakasih Pak Jokowi 
#JudolSial 
Speed Minggir lu miskin",speed Indonesia ,"Mantap Indonesia Masuk 3 Besar NegaraNegara Utama Dalam Pertumbuhan PDB Riil Tahunan SELAMA 10 TAHUN

Pertumbuhan ekonomi masa depan negara menggunakan 81 indikator termasuk produktivitas tenaga kerja pendidikan dan kewajiban utang

Terimakasih Pak Jokowi 
JudolSial 
Speed Minggir lu miskin"
1837826379775463721,2024-09-22 12:08:00+00:00,"Berdasarkan Ray Dalio, The Great Power Index 2024, pertumbuhan ekonomi Indonesia diperkirakan berada di urutan ketiga dari negara-negata besar yang pertumbuhan ekonominya dinilai berdasarkan 81 indokator. 
 
#JudolSial 
Speed ikutan screaming challenge Kali Bekasi",speed Indonesia ,"Berdasarkan Ray Dalio The Great Power Index 2024 pertumbuhan ekonomi Indonesia diperkirakan berada di urutan ketiga dari negaranegata besar yang pertumbuhan ekonominya dinilai berdasarkan 81 indokator 
 
JudolSial 
Speed ikutan screaming challenge Kali Bekasi"
1837825451500220902,2024-09-22 12:05:00+00:00,Bagi lagi bang. Berasap je tengok Speed enjoy dekat Indonesia sana 😌,speed Indonesia ,Bagi lagi bang Berasap je tengok Speed enjoy dekat Indonesia sana 
1837826574374273166,2024-09-22 12:09:00+00:00,"pengen jadi speed yang social battery nya gaabis abis untuk menyapa warga indonesia euy soalnya akumah 10 menit berinteraksi juga pengen langsung me time:(

#pridechicken
#prikchicken
#speed",speed Indonesia ,"pengen jadi speed yang social battery nya gaabis abis untuk menyapa warga indonesia euy soalnya akumah 10 menit berinteraksi juga pengen langsung me time

pridechicken
prikchicken
speed"
1837822010447241670,2024-09-22 11:51:00+00:00,"FLASH SALE DI SHOPEE ‼️ 

HANSAPLAST Kain Plester Elastis Mix 10's Perban lentur murah seharga Rp9.100

Biadab Slamet Chanyeol speed hujan Indonesia khilaf big L pembunuhan kali Bekasi 

 s.shopee.co.id/1g01w5e3j5?sh…",speed Indonesia ,"FLASH SALE DI SHOPEE  

HANSAPLAST Kain Plester Elastis Mix 10s Perban lentur murah seharga Rp9100

Biadab Slamet Chanyeol speed hujan Indonesia khilaf big L pembunuhan kali Bekasi 

 sshopeecoid1g01w5e3j5sh"
1837822822032515155,2024-09-22 11:54:00+00:00,Speed already left Indonesia?,speed Indonesia ,Speed already left Indonesia
1837821075113255179,2024-09-22 11:47:00+00:00,"Rasah do iyik bab SDM, gaglakan speed ra nggenah marai geger sak Indonesia, titeni wae sesuk sopo sing mlorot sdm e",speed Indonesia ,Rasah do iyik bab SDM gaglakan speed ra nggenah marai geger sak Indonesia titeni wae sesuk sopo sing mlorot sdm e
1837819408263082104,2024-09-22 11:41:00+00:00,"Marina Bay adalah satu-satunya sirkuit di kalender yang belum bisa dimenangkan oleh Max Verstappen.

Bisakah dia pecah telur di GP Singapura malam ini?",speed Indonesia ,"Marina Bay adalah satusatunya sirkuit di kalender yang belum bisa dimenangkan oleh Max Verstappen

Bisakah dia pecah telur di GP Singapura malam ini"
1837818658266956017,2024-09-22 11:38:00+00:00,"Sisa alokasi ban tiap pembalap sebelum race.
Mayoritas hanya menyisakan satu hard dan satu medium yang akan jadi kompon utama di balapan.",speed Indonesia ,"Sisa alokasi ban tiap pembalap sebelum race
Mayoritas hanya menyisakan satu hard dan satu medium yang akan jadi kompon utama di balapan"
